Fed ID,District Code,CDS Code,County Name,District Type,Grade Low,Grade High,Grade Low Census,Grade High Census,Assistance Status,Locale,Enroll Total,Enroll Charter,Enroll Non Charter,African American,African American (%),American Indian,American Indian (%),Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Students with Disabilities,Students with Disabilities (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),District Label,District Name,EDP 365,Expense ADA,Expense per ADA,LEA Type,Decimal Difference
631050.0,72058,54720580000000.0,Tulare,Elementary,KG,8,KG,8,Differentiated Assistance,Rural,454.0,0.0,454.0,1.0,0.2,0.0,0.0,0.0,0.0,26.0,5.7,395.0,87.0,0.0,0.0,31.0,6.8,1.0,0.2,0.0,0.0,237.0,52.2,4.0,0.9,23.0,5.1,8.0,1.8,25.0,5.5,407.0,89.6,Pleasant View Elementary (Tulare),Pleasant View Elementary,8410675.92,429.54,19580.66,Elementary,0.0569446384504353
632430.0,72082,54720820000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Town,498.0,0.0,498.0,0.0,0.0,1.0,0.2,5.0,1.0,3.0,0.6,489.0,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,56.2,0.0,0.0,2.0,0.4,17.0,3.4,36.0,7.2,478.0,96.0,Richgrove Elementary (Tulare),Richgrove Elementary,11909774.57,463.15,25714.72,Elementary,0.07524560077728602
633270.0,72090,54720900000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,282.0,0.0,282.0,0.0,0.0,3.0,1.1,1.0,0.4,9.0,3.2,145.0,51.4,0.0,0.0,117.0,41.5,6.0,2.1,1.0,0.4,43.0,15.2,1.0,0.4,14.0,5.0,3.0,1.1,15.0,5.3,157.0,55.7,Rockford Elementary (Tulare),Rockford Elementary,3990710.31,270.72,14741.1,Elementary,0.04166666666666656
635940.0,72108,54721080000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,71.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,84.5,0.0,0.0,11.0,15.5,0.0,0.0,0.0,0.0,16.0,22.5,1.0,1.4,0.0,0.0,2.0,2.8,4.0,5.6,63.0,88.7,Saucelito Elementary (Tulare),Saucelito Elementary,1377493.03,67.99,20260.23,Elementary,0.044271216355346456
636360.0,72116,54721160000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,384.0,348.0,36.0,0.0,0.0,0.0,0.0,6.0,1.6,0.0,0.0,142.0,37.0,0.0,0.0,220.0,57.3,13.0,3.4,3.0,0.8,37.0,9.6,1.0,0.3,1.0,0.3,2.0,0.5,28.0,7.3,166.0,43.2,Sequoia Union Elementary (Tulare),Sequoia Union Elementary,778037.04,30.79,25269.15,Elementary,11.471581682364404
637770.0,72132,54721320000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,329.0,0.0,329.0,2.0,0.6,7.0,2.1,1.0,0.3,0.0,0.0,93.0,28.3,0.0,0.0,206.0,62.6,16.0,4.9,4.0,1.2,8.0,2.4,1.0,0.3,0.0,0.0,0.0,0.0,18.0,5.5,157.0,47.7,Springville Union Elementary (Tulare),Springville Union Elementary,5070396.77,306.73,16530.49,Elementary,0.0726045707951618
638040.0,72140,54721400000000.0,Tulare,Elementary,KG,12,KG,8,Differentiated Assistance,Rural,869.0,757.0,112.0,18.0,2.1,7.0,0.8,42.0,4.8,3.0,0.3,663.0,76.3,1.0,0.1,107.0,12.3,19.0,2.2,9.0,1.0,181.0,20.8,29.0,3.3,17.0,2.0,5.0,0.6,119.0,13.7,740.0,85.2,Stone Corral Elementary (Tulare),Stone Corral Elementary,2842391.82,107.11,26537.13,Elementary,7.1131547007749045
638130.0,72157,54721570000000.0,Tulare,Elementary,KG,8,KG,8,Differentiated Assistance,Suburban,697.0,0.0,697.0,1.0,0.1,2.0,0.3,4.0,0.6,0.0,0.0,645.0,92.5,0.0,0.0,44.0,6.3,1.0,0.1,0.0,0.0,288.0,41.3,1.0,0.1,2.0,0.3,95.0,13.6,49.0,7.0,653.0,93.7,Strathmore Union Elementary (Tulare),Strathmore Union Elementary,14961720.13,658.73,22712.98,Elementary,0.05809664050521455
638340.0,72173,54721730000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,844.0,0.0,844.0,0.0,0.0,2.0,0.2,7.0,0.8,1.0,0.1,393.0,46.6,1.0,0.1,405.0,48.0,34.0,4.0,1.0,0.1,83.0,9.8,7.0,0.8,39.0,4.6,14.0,1.7,54.0,6.4,328.0,38.9,Sundale Union Elementary (Tulare),Sundale Union Elementary,11481113.09,806.56,14234.67,Elementary,0.046419361237849704
638430.0,72181,54721810000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,302.0,0.0,302.0,0.0,0.0,0.0,0.0,1.0,0.3,1.0,0.3,284.0,94.0,0.0,0.0,15.0,5.0,1.0,0.3,0.0,0.0,116.0,38.4,4.0,1.3,4.0,1.3,42.0,13.9,19.0,6.3,281.0,93.0,Sunnyside Union Elementary (Tulare),Sunnyside Union Elementary,6828485.43,285.01,23958.76,Elementary,0.059611943440581065
639060.0,72199,54721990000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Town,754.0,0.0,754.0,2.0,0.3,0.0,0.0,6.0,0.8,2.0,0.3,727.0,96.4,0.0,0.0,16.0,2.1,0.0,0.0,1.0,0.1,518.0,68.7,5.0,0.7,0.0,0.0,43.0,5.7,94.0,12.5,709.0,94.0,Terra Bella Union Elementary (Tulare),Terra Bella Union Elementary,14266710.58,690.14,20672.2,Elementary,0.09253195003912251
639210.0,72207,54722070000000.0,Tulare,Elementary,KG,8,KG,8,General Assistance,Rural,90.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,1.1,1.0,1.1,20.0,22.2,0.0,0.0,57.0,63.3,9.0,10.0,2.0,2.2,4.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,42.0,46.7,Three Rivers Union Elementary (Tulare),Three Rivers Union Elementary,1896531.68,82.29,23046.93,Elementary,0.09369303682099882
